seed_25_level_6-2,511,544.6537442207336,705742,150,(59;70;96;96;96;42;78;111;43;111;116;46;44;43;111;111;43;53;111;75;111;44;174;42;108;72;108;42;108;43;108;81;108;108;108;108;108;56;55;108;42;108;42;108;57;43;43;108;108;108;108;108;108;57;108;108;108;108;189;43;126;126;61;43;126;126;126;126;59;42;126;126;126;126;126;126;126;126;126;51;43;126;42;42;126;126;42;59;42;59;126;153;126;61;42;43;52;43;71;126;126;126;126;42;74;47;69;42;126;126;126;126;126;59;126;74;126;42;126;53;176;59;126;176;68;49;42;42;126;126;63;59;43;42;126;42;126;126;126;73;126;126;42;126;76;45;176;71;60;55)
seed_25_level_6-2,511,1088.6568503379822,1486500,300,(42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;43;42;43;42;42;43;42;43;43;43;43;43;42;43;43;43;42;42;47;45;47;49;46;51;52;59;59;59;59;59;61;62;63;64;64;70;72;75;76;79;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;133;60;59;67;79;60;69;55;59;53;61;74;71;74;73;153;174;176;176;176;189)
seed_25_level_6-2,511,1638.5014901161194,2267669,450,(42;42;42;42;42;42;43;42;42;42;42;42;42;42;42;42;42;42;42;43;43;43;42;43;42;42;43;42;43;43;43;43;43;47;50;47;47;49;51;55;59;59;59;59;59;61;62;63;64;64;70;71;75;76;79;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;133;60;59;68;78;60;69;55;59;54;61;74;71;74;73;153;174;176;176;176;189)
seed_25_level_6-2,513,2184.70317196846,3048396,600,(42;42;42;42;42;42;42;42;42;42;42;42;42;43;42;42;42;42;42;43;43;42;42;43;43;43;43;42;42;43;42;43;43;45;45;47;49;46;51;52;59;59;59;59;59;61;62;63;64;64;70;71;75;76;79;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;133;60;59;68;79;61;69;59;53;55;61;73;70;74;73;153;174;176;176;176;190)
seed_25_level_6-2,513,2726.2979125976562,3829284,750,(42;42;42;42;42;42;42;42;42;42;42;42;42;42;43;42;42;42;43;43;43;43;42;43;43;42;43;43;42;42;42;42;42;46;46;49;50;48;50;54;58;58;58;58;58;61;61;62;63;64;70;71;75;76;79;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;133;60;59;67;78;60;69;55;59;54;61;70;74;74;73;152;174;177;177;177;190)
seed_25_level_6-2,513,3277.255859851837,4610025,900,(42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;43;43;43;43;42;43;43;43;42;42;43;42;43;43;42;42;42;46;44;49;46;50;50;51;58;58;58;58;58;61;61;63;63;64;70;72;75;76;79;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;133;60;59;68;79;61;69;59;54;55;61;70;74;74;73;152;174;177;177;177;189)
seed_25_level_6-2,513,3825.0276732444763,5392267,1050,(42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;43;42;42;42;42;42;43;42;43;43;43;43;43;42;43;43;46;46;44;48;50;50;54;58;58;58;58;58;61;61;62;63;64;70;72;75;76;79;138;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;133;60;59;68;78;61;69;55;59;54;61;71;73;74;73;152;174;177;177;177;189)
seed_25_level_6-2,513,4370.095503807068,6174229,1200,(42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;43;42;42;42;43;43;42;42;42;42;43;43;46;46;46;49;50;47;54;58;58;58;58;58;61;61;62;63;64;70;72;75;76;79;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;133;60;59;68;79;60;69;55;59;53;61;73;70;74;73;138;152;174;177;177;177;189)
seed_25_level_6-2,513,4915.324944734573,6954808,1350,(42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;43;43;42;42;42;43;43;43;42;42;43;43;43;42;43;46;46;44;47;49;50;54;58;58;58;58;58;61;61;62;63;64;70;71;75;76;79;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;133;60;59;67;78;60;69;59;53;55;61;71;74;74;73;126;152;174;177;177;177;190)
seed_25_level_6-2,513,5461.599796772003,7737179,1500,(42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;43;43;43;43;43;42;43;42;42;43;43;42;43;42;43;42;43;46;46;44;47;49;50;54;58;58;58;58;58;61;61;63;63;64;70;71;75;76;79;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;138;133;60;59;67;79;61;69;55;59;53;61;74;70;74;73;152;174;177;177;177;190)
